Fund Code,Date,Asset Class,Name of Investment/Institution/Issuer/Fund Manager,Security Identifier,Units Held,Value (AUD),Weighting (%),Currency
EIBAIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",EVERCARE HEALTH FUND FEEDER LP,,,"1,846,201",0.0483,
EIBAIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",GLOBAL ENERGY EFFICIENCY AND RENEWABLE ENERGY FUND SICAV SIF,,,"6,476,016",0.1693,
EIBAIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",RENAISSANCERE MEDICI FD LTD S A 1,,,"10,528,296",0.2753,
EIBAIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",RENAISSANCERE MEDICI FD SERIES DI A OCT 2020,,,"61,232",0.0016,
EIBAIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",RENAISSANCERE MEDICI FD SERIES DI A SEP 2021,,,"14,659",0.0004,
EIBAIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",TRIODOS MICROFINANCE FUND CLASS I,,,"16,301,964",0.4262,
EIBAIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",BRIGHTLIGHT IMPACT HOLDINGS PTY LTD,,,"2,334,061",0.0610,
EIBAIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",CLOUDFAC GROUP LTD CLASS B PREF SHARES,,,"2,277,348",0.0595,
EIBAIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",CLOUDFACTORY SERIES C PREF SHARES,,,"2,850,783",0.0745,
EIBAIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",AMP CAPITAL COMMUNITY INFRASTRUCTURE FUND WHOLESALE,,,"19,479,228",0.5093,
EIBAIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",ARTESIAN,,,"6,153,052",0.1609,
EIBAIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",AUSTRALIAN PRIME PROPERTY RETAIL EIULPS,,,"5,190,100",0.1357,
EIBAIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",BRIGHT ENERGY FUND,,,"290,212",0.0076,
EIBAIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",BROOKFIELD INFRASTRUCTURE FUND IV-C LP,,,"13,068,451",0.3417,
EIBAIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",CHARTER HALL PRIME INDUSTRIAL FUND,,,"17,139,496",0.4481,
EIBAIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",CIRCULARITY EUROPEAN GROWTH FUND I LP,,,"6,188,749",0.1618,
EIBAIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",CSIRO INNOVATION FOLLOW ON FUND 2,,,"2,576,815",0.0674,
EIBAIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",MAIN SEQUENCE,,,"2,253,469",0.0589,
EIBAIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",GENERATION IM SUSTAINABLE SOLUTIONS FUND IV B ILP,,,"-425,768",-0.0111,
EIBAIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",IFC CATALYST FUND LP,,,"2,573,415",0.0673,
EIBAIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",IFM AUSTRALIA INFRASTRUCTURE UNIT CLASS,,,"28,667,320",0.7495,
EIBAIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",LEAPFROG EMERGING CONSUMER III LP,,,"9,141,984",0.2390,
EIBAIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",LEAPFROG FINANCIAL INCLUSION FUND II LP,,,"2,772,387",0.0725,
EIBAIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",LGT CROWN ASIA-PACIFIC PRIVATE EQUITY IV PLC,,,"10,842,722",0.2835,
EIBAIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",LGT CROWN SECOND SPEC OPP II SCS CLASS A EI ONLY,,,"7,389,161",0.1932,
EIBAIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",LGT CROWN SECONDARIES SPECIAL OPP II B EI ONLY,,,"2,291,108",0.0599,
EIBAIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",LIVELIHOOD IMPACT FUND L.P.,,,"2,059,386",0.0538,
EIBAIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",MICROVEST II-A LP OFFSHORE FUND,,,"805,796",0.0211,
EIBAIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",MORRISON & CO,,,"20,027,602",0.5236,
EIBAIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",NEW FORESTS AUSTRALIA NEW ZEALAND FOREST FUND 3,,,"5,780,565",0.1511,
EIBAIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",PARTNERS GROUP LIFE 2018 SCA SICAV RAIF,,,"3,082,286",0.0806,
