Fund Code,Date,Asset Class,Name of Investment/Institution/Issuer/Fund Manager,Security Identifier,Units Held,Value (AUD),Weighting (%),Currency
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",EVERCARE HEALTH FUND FEEDER LP,,,"657,687",0.1289,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",GLOBAL ENERGY EFFICIENCY AND RENEWABLE ENERGY FUND SICAV SIF,,,"2,307,002",0.4521,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",RENAISSANCERE MEDICI FD LTD S A 1,,,"1,386,003",0.2716,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",RENAISSANCERE MEDICI FD SERIES DI A OCT 2020,,,"8,061",0.0016,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",RENAISSANCERE MEDICI FD SERIES DI A SEP 2021,,,"1,930",0.0004,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",TRIODOS MICROFINANCE FUND CLASS I,,,"2,146,080",0.4205,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",BRIGHTLIGHT IMPACT HOLDINGS PTY LTD,,,"831,481",0.1629,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",CLOUDFAC GROUP LTD CLASS B PREF SHARES,,,"811,277",0.1590,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",CLOUDFACTORY SERIES C PREF SHARES,,,"1,015,557",0.1990,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",AMP CAPITAL COMMUNITY INFRASTRUCTURE FUND WHOLESALE,,,"2,564,352",0.5025,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",ARTESIAN,,,"2,191,950",0.4295,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",AUSTRALIAN PRIME PROPERTY RETAIL EIULPS,,,"472,559",0.0926,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",BRIGHT ENERGY FUND,,,"38,205",0.0075,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",BROOKFIELD INFRASTRUCTURE FUND IV-C LP,,,"1,758,279",0.3445,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",CHARTER HALL PRIME INDUSTRIAL FUND,,,"1,560,552",0.3058,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",CIRCULARITY EUROPEAN GROWTH FUND I LP,,,"2,204,667",0.4320,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",CSIRO INNOVATION FOLLOW ON FUND 2,,,"917,959",0.1799,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",MAIN SEQUENCE,,,"802,771",0.1573,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",GENERATION IM SUSTAINABLE SOLUTIONS FUND IV B ILP,,,"-151,675",-0.0297,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",IFC CATALYST FUND LP,,,"345,563",0.0677,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",IFM AUSTRALIA INFRASTRUCTURE UNIT CLASS,,,"3,857,009",0.7558,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",LEAPFROG EMERGING CONSUMER III LP,,,"3,256,720",0.6382,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",LEAPFROG FINANCIAL INCLUSION FUND II LP,,,"987,629",0.1935,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",LGT CROWN ASIA-PACIFIC PRIVATE EQUITY IV PLC,,,"1,455,980",0.2853,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",LGT CROWN SECOND SPEC OPP II SCS CLASS A EI ONLY,,,"992,230",0.1944,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",LGT CROWN SECONDARIES SPECIAL OPP II B EI ONLY,,,"307,654",0.0603,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",LIVELIHOOD IMPACT FUND L.P.,,,"733,631",0.1438,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",MICROVEST II-A LP OFFSHORE FUND,,,"106,079",0.0208,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",MORRISON & CO,,,"7,134,590",1.3981,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",NEW FORESTS AUSTRALIA NEW ZEALAND FOREST FUND 3,,,"760,985",0.1491,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",PARTNERS GROUP LIFE 2018 SCA SICAV RAIF,,,"1,098,027",0.2152,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",PATAMAR FUND II LP,,,"908,529",0.1780,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",RESOLUTION LIFE GROUP HOLDINGS LP,,,"7,071,661",1.3857,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",RIGHT CLICK CAPITAL,,,"3,362,161",0.6588,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",SIGULER GUFF SUPERANNUATION 2019-2 SBOF III,,,"2,194,170",0.4300,
